Canal,SubCanal,Grupo 1 ,Grupo 2,Afiliação,VL Receita Total,Receita Net MDR,Receita de antecipação de recebiveis,Outras Receitas,Custo de Net MDR,Custo de antecipação de recebiveis,Custo de Outras Receitas
DIGITAL,SubCanal 1,Grupo B,LIDER FARMER,00254A8E-59B4-40A5-99AC-CA06A1B37663,227,0,0,227,0,0,113
DIGITAL,SubCanal 1,Grupo C,JULIO,005e8e74-2412-48d3-b366-fbb8cc3b4e67,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,BASE,005F3E61-7757-46F4-A55F-4E2ED5B52835,51,0,0,51,0,0,26
DIGITAL,SubCanal 1,Grupo D,INSIDE,006073e9-052c-44e0-aaa9-3f160fb12bb4,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,BASE,00F62BB5-45B2-4C41-921B-4E2650FDDBD4,257,0,0,257,0,0,129
DIGITAL,SubCanal 1,Grupo B,INSIDE A,0140af62-3862-45de-b6a3-ef8ee3e7e5ad,927,0,0,927,0,0,463
DIGITAL,SubCanal 1,Grupo B,BASE,0192EF22-4EFA-46A3-8A7F-FAB853323DFB,309,0,0,309,0,0,154
DIGITAL,SubCanal 1,Grupo B,INSIDE B,019BE612-B356-4111-A703-43552675D3AA,43,0,0,43,0,0,21
DIGITAL,SubCanal 1,Grupo B,BASE,01ff2ea1-0e0a-4e3b-8c9f-f7ecb2967f53,200,0,0,200,0,0,100
DIGITAL,SubCanal 1,Grupo B,BASE,025C4033-D76F-406A-B445-76AE6CA9D6C6,222,0,0,222,0,0,111
DIGITAL,SubCanal 1,Grupo B,BASE,028D12EE-2BFF-4F4E-9492-D2CD7A79EA99,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,LARGE A,02D22745-CC62-4DFC-BC6A-20625523EB12,8970,0,0,8970,0,0,4485
DIGITAL,SubCanal 1,Grupo B,BASE,02ECF9B5-EBE8-4B1D-94DE-A84A8C15CAB8,51,0,0,51,0,0,26
DIGITAL,SubCanal 1,Grupo B,INSIDE B,035DBF1B-7661-4E43-A108-2267358EAA75,2156,0,0,2156,0,0,1078
DIGITAL,SubCanal 1,Grupo B,INSIDE A,03cfbc14-75dd-4988-ade1-0b9e690e5794,412,0,0,412,0,0,206
DIGITAL,SubCanal 1,Grupo B,INSIDE A,03E10918-9691-421D-9217-637B3782E08F,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,INSIDE A,03E87388-1479-4A1A-8254-1FE3D2A1AACE,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,FIELD D,04EEBB0B-58ED-41C2-8692-993BED14071B,942,0,0,942,0,0,471
DIGITAL,SubCanal 1,Grupo B,BASE,04F0F253-B55D-4985-B16C-14993F69B0E9,309,0,0,309,0,0,154
DIGITAL,SubCanal 1,Grupo B,BASE,0507B8DB-B385-49C9-B667-FE4FD017C9BF,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,INSIDE B,0516D64B-299F-4065-86A5-66375BE7E8BE,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,BASE,051BB707-2AF8-4594-9E51-F86644431FA8,213,0,0,213,0,0,106
DIGITAL,SubCanal 1,Grupo B,BASE,05b8c161-9ede-4ab9-81c9-70ca9a9706d8,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,INSIDE B,06701E1E-2D67-4EF3-8926-5CFA312456BC,515,0,0,515,0,0,257
DIGITAL,SubCanal 1,Grupo B,BASE,067163BF-AFD0-41F4-87C0-A451D5E3A486,257,0,0,257,0,0,129
DIGITAL,SubCanal 1,Grupo B,BASE,06D11102-46F4-4CA0-BD62-F7D1A75AAB03,99,0,0,99,0,0,50
DIGITAL,SubCanal 1,Grupo B,FIELD B,07813A95-96AA-4D1F-8AAB-D21521A1AB90,7913,0,0,7913,0,0,3956
DIGITAL,SubCanal 1,Grupo B,BASE,08846E99-B302-4469-BC90-439A9FD82ACC,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,FIELD D,08CD20DB-18F6-4678-8C86-B445B6F78C0B,6406,0,0,6406,0,0,3203
DIGITAL,SubCanal 1,Grupo B,BASE,0A015963-CBF5-48B0-A6F7-5E8B68F2BE93,57,0,0,57,0,0,29
DIGITAL,SubCanal 1,Grupo B,INSIDE B,0A059239-5AB7-4172-877B-0DD983729675,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,INSIDE B,0A13E919-57F9-4032-BAAB-5F68CFBC785C,580,0,0,580,0,0,290
DIGITAL,SubCanal 1,Grupo B,FIELD A,0AC65502-4304-462B-BBAA-474F7341FCC9,2885,0,0,2885,0,0,1442
DIGITAL,SubCanal 1,Grupo B,INSIDE A,0B2B45FF-FC0B-4DD6-9BBF-4D14DC938D01,5170,0,0,5170,0,0,2585
DIGITAL,SubCanal 1,Grupo B,BASE,0B57801B-0ECC-42DD-9AE8-2FEE43C220CD,288,0,0,288,0,0,144
DIGITAL,SubCanal 1,Grupo B,BASE,0B6E1B76-F2B0-4435-8D4C-BD9569BDEFD5,206,0,0,206,0,0,103
DIGITAL,SubCanal 1,Grupo B,LARGE B,0BDA7D38-30C0-49BC-BF6B-6E437636B71D,93582,0,0,93582,0,0,46791
DIGITAL,SubCanal 1,Grupo B,BASE,0BE663F8-B58C-4D6F-80CD-71DD84B1E428,51,0,0,51,0,0,26
