,Canal,SubCanal,Grupo 1 ,Grupo 2,Afiliação,VL Receita Total,Receita Net MDR,Receita de antecipação de recebiveis,Outras Receitas,Custo de Net MDR,Custo de antecipação de recebiveis,Custo de Outras Receitas,custo_total,lucro Net MDR,lucro antecipação de recebiveis,lucro outras receitas,lucro total,margem Net MDR,margem antecipação de recebiveis,margem Outras Receitas,margem total
0,DIGITAL,SubCanal 1,Grupo B,LIDER FARMER,00254A8E-59B4-40A5-99AC-CA06A1B37663,227,0,0,227,0,0,113,113,0,0,114,114,,,0.5022026431718062,0.5022026431718062
1,DIGITAL,SubCanal 1,Grupo C,JULIO,005e8e74-2412-48d3-b366-fbb8cc3b4e67,206,0,0,206,0,0,103,103,0,0,103,103,,,0.5,0.5
2,DIGITAL,SubCanal 1,Grupo B,BASE,005F3E61-7757-46F4-A55F-4E2ED5B52835,51,0,0,51,0,0,26,26,0,0,25,25,,,0.49019607843137253,0.49019607843137253
3,DIGITAL,SubCanal 1,Grupo D,INSIDE,006073e9-052c-44e0-aaa9-3f160fb12bb4,206,0,0,206,0,0,103,103,0,0,103,103,,,0.5,0.5
4,DIGITAL,SubCanal 1,Grupo B,BASE,00F62BB5-45B2-4C41-921B-4E2650FDDBD4,257,0,0,257,0,0,129,129,0,0,128,128,,,0.4980544747081712,0.4980544747081712
5,DIGITAL,SubCanal 1,Grupo B,INSIDE A,0140af62-3862-45de-b6a3-ef8ee3e7e5ad,927,0,0,927,0,0,463,463,0,0,464,464,,,0.5005393743257821,0.5005393743257821
6,DIGITAL,SubCanal 1,Grupo B,BASE,0192EF22-4EFA-46A3-8A7F-FAB853323DFB,309,0,0,309,0,0,154,154,0,0,155,155,,,0.5016181229773463,0.5016181229773463
7,DIGITAL,SubCanal 1,Grupo B,INSIDE B,019BE612-B356-4111-A703-43552675D3AA,43,0,0,43,0,0,21,21,0,0,22,22,,,0.5116279069767442,0.5116279069767442
8,DIGITAL,SubCanal 1,Grupo B,BASE,01ff2ea1-0e0a-4e3b-8c9f-f7ecb2967f53,200,0,0,200,0,0,100,100,0,0,100,100,,,0.5,0.5
9,DIGITAL,SubCanal 1,Grupo B,BASE,025C4033-D76F-406A-B445-76AE6CA9D6C6,222,0,0,222,0,0,111,111,0,0,111,111,,,0.5,0.5
10,DIGITAL,SubCanal 1,Grupo B,BASE,028D12EE-2BFF-4F4E-9492-D2CD7A79EA99,206,0,0,206,0,0,103,103,0,0,103,103,,,0.5,0.5
12,DIGITAL,SubCanal 1,Grupo B,BASE,02ECF9B5-EBE8-4B1D-94DE-A84A8C15CAB8,51,0,0,51,0,0,26,26,0,0,25,25,,,0.49019607843137253,0.49019607843137253
